expID,ligand,base,solvent,notation
431,11,9,3,Ak-Cy_CsF_MeCN
432,12,9,3,Ak-tBu_CsF_MeCN
433,13,9,3,Ak-nBu_CsF_MeCN
434,14,9,3,Ak-Me_CsF_MeCN
435,15,9,3,Ak-Et_CsF_MeCN
436,1,10,3,Ar-H_NEt4OH_MeCN
437,2,10,3,Ar-OMe_NEt4OH_MeCN
438,3,10,3,Ar-Me2OMe_NEt4OH_MeCN
439,4,10,3,Ar-Me3_NEt4OH_MeCN
440,5,10,3,Ar-Me2_NEt4OH_MeCN
441,6,10,3,Ar-F_NEt4OH_MeCN
442,7,10,3,Ar-CF3_NEt4OH_MeCN
443,8,10,3,Ar-CF32_NEt4OH_MeCN
444,9,10,3,Ar-F5_NEt4OH_MeCN
445,10,10,3,Ar-Cl_NEt4OH_MeCN
446,11,10,3,Ak-Cy_NEt4OH_MeCN
447,12,10,3,Ak-tBu_NEt4OH_MeCN
448,13,10,3,Ak-nBu_NEt4OH_MeCN
449,14,10,3,Ak-Me_NEt4OH_MeCN
450,15,10,3,Ak-Et_NEt4OH_MeCN
451,1,1,4,Ar-H_Na2CO3_nPrOH
452,2,1,4,Ar-OMe_Na2CO3_nPrOH
453,3,1,4,Ar-Me2OMe_Na2CO3_nPrOH
454,4,1,4,Ar-Me3_Na2CO3_nPrOH
455,5,1,4,Ar-Me2_Na2CO3_nPrOH
456,6,1,4,Ar-F_Na2CO3_nPrOH
457,7,1,4,Ar-CF3_Na2CO3_nPrOH
458,8,1,4,Ar-CF32_Na2CO3_nPrOH
459,9,1,4,Ar-F5_Na2CO3_nPrOH
460,10,1,4,Ar-Cl_Na2CO3_nPrOH
461,11,1,4,Ak-Cy_Na2CO3_nPrOH
462,12,1,4,Ak-tBu_Na2CO3_nPrOH
463,13,1,4,Ak-nBu_Na2CO3_nPrOH
464,14,1,4,Ak-Me_Na2CO3_nPrOH
465,15,1,4,Ak-Et_Na2CO3_nPrOH
466,1,2,4,Ar-H_NaHCO3_nPrOH
467,2,2,4,Ar-OMe_NaHCO3_nPrOH
468,3,2,4,Ar-Me2OMe_NaHCO3_nPrOH
469,4,2,4,Ar-Me3_NaHCO3_nPrOH
470,5,2,4,Ar-Me2_NaHCO3_nPrOH
471,6,2,4,Ar-F_NaHCO3_nPrOH
472,7,2,4,Ar-CF3_NaHCO3_nPrOH
473,8,2,4,Ar-CF32_NaHCO3_nPrOH
474,9,2,4,Ar-F5_NaHCO3_nPrOH
475,10,2,4,Ar-Cl_NaHCO3_nPrOH
476,11,2,4,Ak-Cy_NaHCO3_nPrOH
477,12,2,4,Ak-tBu_NaHCO3_nPrOH
478,13,2,4,Ak-nBu_NaHCO3_nPrOH
479,14,2,4,Ak-Me_NaHCO3_nPrOH
480,15,2,4,Ak-Et_NaHCO3_nPrOH
481,1,3,4,Ar-H_NaOH_nPrOH
482,2,3,4,Ar-OMe_NaOH_nPrOH
483,3,3,4,Ar-Me2OMe_NaOH_nPrOH
484,4,3,4,Ar-Me3_NaOH_nPrOH
485,5,3,4,Ar-Me2_NaOH_nPrOH
486,6,3,4,Ar-F_NaOH_nPrOH
487,7,3,4,Ar-CF3_NaOH_nPrOH
488,8,3,4,Ar-CF32_NaOH_nPrOH
489,9,3,4,Ar-F5_NaOH_nPrOH
490,10,3,4,Ar-Cl_NaOH_nPrOH
491,11,3,4,Ak-Cy_NaOH_nPrOH
492,12,3,4,Ak-tBu_NaOH_nPrOH
493,13,3,4,Ak-nBu_NaOH_nPrOH
494,14,3,4,Ak-Me_NaOH_nPrOH
495,15,3,4,Ak-Et_NaOH_nPrOH
496,1,4,4,Ar-H_K2CO3_nPrOH
497,2,4,4,Ar-OMe_K2CO3_nPrOH
498,3,4,4,Ar-Me2OMe_K2CO3_nPrOH
499,4,4,4,Ar-Me3_K2CO3_nPrOH
500,5,4,4,Ar-Me2_K2CO3_nPrOH
501,6,4,4,Ar-F_K2CO3_nPrOH
502,7,4,4,Ar-CF3_K2CO3_nPrOH
503,8,4,4,Ar-CF32_K2CO3_nPrOH
504,9,4,4,Ar-F5_K2CO3_nPrOH
505,10,4,4,Ar-Cl_K2CO3_nPrOH
506,11,4,4,Ak-Cy_K2CO3_nPrOH
507,12,4,4,Ak-tBu_K2CO3_nPrOH
508,13,4,4,Ak-nBu_K2CO3_nPrOH
509,14,4,4,Ak-Me_K2CO3_nPrOH
510,15,4,4,Ak-Et_K2CO3_nPrOH
511,1,5,4,Ar-H_KOH_nPrOH
512,2,5,4,Ar-OMe_KOH_nPrOH
513,3,5,4,Ar-Me2OMe_KOH_nPrOH
514,4,5,4,Ar-Me3_KOH_nPrOH
515,5,5,4,Ar-Me2_KOH_nPrOH
516,6,5,4,Ar-F_KOH_nPrOH
517,7,5,4,Ar-CF3_KOH_nPrOH
518,8,5,4,Ar-CF32_KOH_nPrOH
519,9,5,4,Ar-F5_KOH_nPrOH
520,10,5,4,Ar-Cl_KOH_nPrOH
521,11,5,4,Ak-Cy_KOH_nPrOH
522,12,5,4,Ak-tBu_KOH_nPrOH
523,13,5,4,Ak-nBu_KOH_nPrOH
524,14,5,4,Ak-Me_KOH_nPrOH
525,15,5,4,Ak-Et_KOH_nPrOH
526,1,6,4,Ar-H_K3PO4_nPrOH
