expID,ligand,base,solvent,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH,objectives
149,14,10,1,120.02,2219.32,-63.3,13.997,322,18.4,16.4,10.2,
150,15,10,1,165.353392,2215.967354,-19.1672,13.997,322,18.4,16.4,10.2,
151,1,1,2,165.87,2223.37,-5.7906,10.329,95,17.4,13.7,11.3,-1.7755345573084622
152,2,1,2,166.8903697,2218.319819,-10.6026,10.329,95,17.4,13.7,11.3,
153,3,1,2,172.5642436,2217.825997,-8.6556,10.329,95,17.4,13.7,11.3,
154,4,1,2,211.3485433,2210.78491,-35.7969,10.329,95,17.4,13.7,11.3,
155,5,1,2,174.6629756,2218.794147,-5.7884,10.329,95,17.4,13.7,11.3,
156,6,1,2,166.26,2224.63,-9.8472,10.329,95,17.4,13.7,11.3,
157,7,1,2,165.4550225,2228.284751,-7.6658,10.329,95,17.4,13.7,11.3,
158,8,1,2,184.5942422,2234.942905,-10.0173,10.329,95,17.4,13.7,11.3,
159,9,1,2,172.55,2232.06,-76.7384,10.329,95,17.4,13.7,11.3,
160,10,1,2,165.5,2225.59,-10.3996,10.329,95,17.4,13.7,11.3,
161,11,1,2,174.3600174,2210.257593,8.0093,10.329,95,17.4,13.7,11.3,
162,12,1,2,185.3,2206.2,66.1445,10.329,95,17.4,13.7,11.3,
163,13,1,2,171.3953578,2213.980043,-29.2681,10.329,95,17.4,13.7,11.3,
164,14,1,2,120.02,2219.32,-63.3,10.329,95,17.4,13.7,11.3,
165,15,1,2,165.353392,2215.967354,-19.1672,10.329,95,17.4,13.7,11.3,
166,1,2,2,165.87,2223.37,-5.7906,6.351,95,17.4,13.7,11.3,
167,2,2,2,166.8903697,2218.319819,-10.6026,6.351,95,17.4,13.7,11.3,
168,3,2,2,172.5642436,2217.825997,-8.6556,6.351,95,17.4,13.7,11.3,
169,4,2,2,211.3485433,2210.78491,-35.7969,6.351,95,17.4,13.7,11.3,-4.028494470271521
170,5,2,2,174.6629756,2218.794147,-5.7884,6.351,95,17.4,13.7,11.3,
171,6,2,2,166.26,2224.63,-9.8472,6.351,95,17.4,13.7,11.3,
172,7,2,2,165.4550225,2228.284751,-7.6658,6.351,95,17.4,13.7,11.3,
173,8,2,2,184.5942422,2234.942905,-10.0173,6.351,95,17.4,13.7,11.3,
174,9,2,2,172.55,2232.06,-76.7384,6.351,95,17.4,13.7,11.3,
175,10,2,2,165.5,2225.59,-10.3996,6.351,95,17.4,13.7,11.3,
176,11,2,2,174.3600174,2210.257593,8.0093,6.351,95,17.4,13.7,11.3,
177,12,2,2,185.3,2206.2,66.1445,6.351,95,17.4,13.7,11.3,
178,13,2,2,171.3953578,2213.980043,-29.2681,6.351,95,17.4,13.7,11.3,
179,14,2,2,120.02,2219.32,-63.3,6.351,95,17.4,13.7,11.3,
180,15,2,2,165.353392,2215.967354,-19.1672,6.351,95,17.4,13.7,11.3,
181,1,3,2,165.87,2223.37,-5.7906,13.997,95,17.4,13.7,11.3,
182,2,3,2,166.8903697,2218.319819,-10.6026,13.997,95,17.4,13.7,11.3,
183,3,3,2,172.5642436,2217.825997,-8.6556,13.997,95,17.4,13.7,11.3,
184,4,3,2,211.3485433,2210.78491,-35.7969,13.997,95,17.4,13.7,11.3,
185,5,3,2,174.6629756,2218.794147,-5.7884,13.997,95,17.4,13.7,11.3,
186,6,3,2,166.26,2224.63,-9.8472,13.997,95,17.4,13.7,11.3,
187,7,3,2,165.4550225,2228.284751,-7.6658,13.997,95,17.4,13.7,11.3,
188,8,3,2,184.5942422,2234.942905,-10.0173,13.997,95,17.4,13.7,11.3,
189,9,3,2,172.55,2232.06,-76.7384,13.997,95,17.4,13.7,11.3,-2.5772089118684836
190,10,3,2,165.5,2225.59,-10.3996,13.997,95,17.4,13.7,11.3,
191,11,3,2,174.3600174,2210.257593,8.0093,13.997,95,17.4,13.7,11.3,
192,12,3,2,185.3,2206.2,66.1445,13.997,95,17.4,13.7,11.3,
193,13,3,2,171.3953578,2213.980043,-29.2681,13.997,95,17.4,13.7,11.3,
194,14,3,2,120.02,2219.32,-63.3,13.997,95,17.4,13.7,11.3,
195,15,3,2,165.353392,2215.967354,-19.1672,13.997,95,17.4,13.7,11.3,
196,1,4,2,165.87,2223.37,-5.7906,10.329,133,17.4,13.7,11.3,
197,2,4,2,166.8903697,2218.319819,-10.6026,10.329,133,17.4,13.7,11.3,
