expID,cone angle,TEP,calc P shift,pKa,Pauling ionic radii,Hansen-dD,Hansen-dP,Hansen-dH
199,195.29,2213.36,-34.9056,10.329,133,17.4,13.7,11.3
200,174.6629756,2218.794147,-5.9295,10.329,133,17.4,13.7,11.3
201,166.26,2224.63,-9.891,10.329,133,17.4,13.7,11.3
202,165.4425321,2228.123853,-7.3657,10.329,133,17.4,13.7,11.3
203,184.5942422,2234.942905,-7.6081,10.329,133,17.4,13.7,11.3
204,172.55,2232.06,-76.6378,10.329,133,17.4,13.7,11.3
205,165.5,2225.59,-9.3867,10.329,133,17.4,13.7,11.3
206,174.3600174,2210.257593,8.4693,10.329,133,17.4,13.7,11.3
207,185.3,2206.2,65.5283,10.329,133,17.4,13.7,11.3
208,171.3953578,2213.980043,-31.8604,10.329,133,17.4,13.7,11.3
209,120.02,2219.32,-63.3,10.329,133,17.4,13.7,11.3
210,165.353392,2215.967354,-18.0838,10.329,133,17.4,13.7,11.3
211,165.87,2223.37,-5.9813,13.997,133,17.4,13.7,11.3
212,166.8903697,2218.319819,-11.5167,13.997,133,17.4,13.7,11.3
213,172.5234877,2217.505928,-9.583,13.997,133,17.4,13.7,11.3
214,195.29,2213.36,-34.9056,13.997,133,17.4,13.7,11.3
215,174.6629756,2218.794147,-5.9295,13.997,133,17.4,13.7,11.3
216,166.26,2224.63,-9.891,13.997,133,17.4,13.7,11.3
217,165.4425321,2228.123853,-7.3657,13.997,133,17.4,13.7,11.3
218,184.5942422,2234.942905,-7.6081,13.997,133,17.4,13.7,11.3
219,172.55,2232.06,-76.6378,13.997,133,17.4,13.7,11.3
220,165.5,2225.59,-9.3867,13.997,133,17.4,13.7,11.3
221,174.3600174,2210.257593,8.4693,13.997,133,17.4,13.7,11.3
222,185.3,2206.2,65.5283,13.997,133,17.4,13.7,11.3
223,171.3953578,2213.980043,-31.8604,13.997,133,17.4,13.7,11.3
224,120.02,2219.32,-63.3,13.997,133,17.4,13.7,11.3
225,165.353392,2215.967354,-18.0838,13.997,133,17.4,13.7,11.3
226,165.87,2223.37,-5.9813,12.375,133,17.4,13.7,11.3
227,166.8903697,2218.319819,-11.5167,12.375,133,17.4,13.7,11.3
228,172.5234877,2217.505928,-9.583,12.375,133,17.4,13.7,11.3
229,195.29,2213.36,-34.9056,12.375,133,17.4,13.7,11.3
230,174.6629756,2218.794147,-5.9295,12.375,133,17.4,13.7,11.3
231,166.26,2224.63,-9.891,12.375,133,17.4,13.7,11.3
232,165.4425321,2228.123853,-7.3657,12.375,133,17.4,13.7,11.3
233,184.5942422,2234.942905,-7.6081,12.375,133,17.4,13.7,11.3
234,172.55,2232.06,-76.6378,12.375,133,17.4,13.7,11.3
235,165.5,2225.59,-9.3867,12.375,133,17.4,13.7,11.3
236,174.3600174,2210.257593,8.4693,12.375,133,17.4,13.7,11.3
237,185.3,2206.2,65.5283,12.375,133,17.4,13.7,11.3
238,171.3953578,2213.980043,-31.8604,12.375,133,17.4,13.7,11.3
239,120.02,2219.32,-63.3,12.375,133,17.4,13.7,11.3
240,165.353392,2215.967354,-18.0838,12.375,133,17.4,13.7,11.3
241,165.87,2223.37,-5.9813,4.756,133,17.4,13.7,11.3
242,166.8903697,2218.319819,-11.5167,4.756,133,17.4,13.7,11.3
243,172.5234877,2217.505928,-9.583,4.756,133,17.4,13.7,11.3
244,195.29,2213.36,-34.9056,4.756,133,17.4,13.7,11.3
245,174.6629756,2218.794147,-5.9295,4.756,133,17.4,13.7,11.3
246,166.26,2224.63,-9.891,4.756,133,17.4,13.7,11.3
247,165.4425321,2228.123853,-7.3657,4.756,133,17.4,13.7,11.3
248,184.5942422,2234.942905,-7.6081,4.756,133,17.4,13.7,11.3
249,172.55,2232.06,-76.6378,4.756,133,17.4,13.7,11.3
250,165.5,2225.59,-9.3867,4.756,133,17.4,13.7,11.3
251,174.3600174,2210.257593,8.4693,4.756,133,17.4,13.7,11.3
252,185.3,2206.2,65.5283,4.756,133,17.4,13.7,11.3
253,171.3953578,2213.980043,-31.8604,4.756,133,17.4,13.7,11.3
254,120.02,2219.32,-63.3,4.756,133,17.4,13.7,11.3
255,165.353392,2215.967354,-18.0838,4.756,133,17.4,13.7,11.3
256,165.87,2223.37,-5.9813,10.329,169,17.4,13.7,11.3
257,166.8903697,2218.319819,-11.5167,10.329,169,17.4,13.7,11.3
258,172.5234877,2217.505928,-9.583,10.329,169,17.4,13.7,11.3
259,195.29,2213.36,-34.9056,10.329,169,17.4,13.7,11.3
260,174.6629756,2218.794147,-5.9295,10.329,169,17.4,13.7,11.3
261,166.26,2224.63,-9.891,10.329,169,17.4,13.7,11.3
262,165.4425321,2228.123853,-7.3657,10.329,169,17.4,13.7,11.3
263,184.5942422,2234.942905,-7.6081,10.329,169,17.4,13.7,11.3
264,172.55,2232.06,-76.6378,10.329,169,17.4,13.7,11.3
265,165.5,2225.59,-9.3867,10.329,169,17.4,13.7,11.3
266,174.3600174,2210.257593,8.4693,10.329,169,17.4,13.7,11.3
267,185.3,2206.2,65.5283,10.329,169,17.4,13.7,11.3
268,171.3953578,2213.980043,-31.8604,10.329,169,17.4,13.7,11.3
269,120.02,2219.32,-63.3,10.329,169,17.4,13.7,11.3
270,165.353392,2215.967354,-18.0838,10.329,169,17.4,13.7,11.3
271,165.87,2223.37,-5.9813,3.17,169,17.4,13.7,11.3
272,166.8903697,2218.319819,-11.5167,3.17,169,17.4,13.7,11.3
273,172.5234877,2217.505928,-9.583,3.17,169,17.4,13.7,11.3
274,195.29,2213.36,-34.9056,3.17,169,17.4,13.7,11.3
275,174.6629756,2218.794147,-5.9295,3.17,169,17.4,13.7,11.3
276,166.26,2224.63,-9.891,3.17,169,17.4,13.7,11.3
277,165.4425321,2228.123853,-7.3657,3.17,169,17.4,13.7,11.3
278,184.5942422,2234.942905,-7.6081,3.17,169,17.4,13.7,11.3
279,172.55,2232.06,-76.6378,3.17,169,17.4,13.7,11.3
280,165.5,2225.59,-9.3867,3.17,169,17.4,13.7,11.3
281,174.3600174,2210.257593,8.4693,3.17,169,17.4,13.7,11.3
282,185.3,2206.2,65.5283,3.17,169,17.4,13.7,11.3
283,171.3953578,2213.980043,-31.8604,3.17,169,17.4,13.7,11.3
284,120.02,2219.32,-63.3,3.17,169,17.4,13.7,11.3
285,165.353392,2215.967354,-18.0838,3.17,169,17.4,13.7,11.3
286,165.87,2223.37,-5.9813,13.997,322,17.4,13.7,11.3
287,166.8903697,2218.319819,-11.5167,13.997,322,17.4,13.7,11.3
288,172.5234877,2217.505928,-9.583,13.997,322,17.4,13.7,11.3
289,195.29,2213.36,-34.9056,13.997,322,17.4,13.7,11.3
290,174.6629756,2218.794147,-5.9295,13.997,322,17.4,13.7,11.3
291,166.26,2224.63,-9.891,13.997,322,17.4,13.7,11.3
292,165.4425321,2228.123853,-7.3657,13.997,322,17.4,13.7,11.3
293,184.5942422,2234.942905,-7.6081,13.997,322,17.4,13.7,11.3
294,172.55,2232.06,-76.6378,13.997,322,17.4,13.7,11.3
295,165.5,2225.59,-9.3867,13.997,322,17.4,13.7,11.3
296,174.3600174,2210.257593,8.4693,13.997,322,17.4,13.7,11.3
297,185.3,2206.2,65.5283,13.997,322,17.4,13.7,11.3
298,171.3953578,2213.980043,-31.8604,13.997,322,17.4,13.7,11.3
299,120.02,2219.32,-63.3,13.997,322,17.4,13.7,11.3
300,165.353392,2215.967354,-18.0838,13.997,322,17.4,13.7,11.3
301,165.87,2223.37,-5.9813,10.329,95,15.3,18,6.1
302,166.8903697,2218.319819,-11.5167,10.329,95,15.3,18,6.1
303,172.5234877,2217.505928,-9.583,10.329,95,15.3,18,6.1
304,195.29,2213.36,-34.9056,10.329,95,15.3,18,6.1
305,174.6629756,2218.794147,-5.9295,10.329,95,15.3,18,6.1
306,166.26,2224.63,-9.891,10.329,95,15.3,18,6.1
307,165.4425321,2228.123853,-7.3657,10.329,95,15.3,18,6.1
308,184.5942422,2234.942905,-7.6081,10.329,95,15.3,18,6.1
309,172.55,2232.06,-76.6378,10.329,95,15.3,18,6.1
310,165.5,2225.59,-9.3867,10.329,95,15.3,18,6.1
311,174.3600174,2210.257593,8.4693,10.329,95,15.3,18,6.1
312,185.3,2206.2,65.5283,10.329,95,15.3,18,6.1
313,171.3953578,2213.980043,-31.8604,10.329,95,15.3,18,6.1
314,120.02,2219.32,-63.3,10.329,95,15.3,18,6.1
315,165.353392,2215.967354,-18.0838,10.329,95,15.3,18,6.1
316,165.87,2223.37,-5.9813,6.351,95,15.3,18,6.1
317,166.8903697,2218.319819,-11.5167,6.351,95,15.3,18,6.1
318,172.5234877,2217.505928,-9.583,6.351,95,15.3,18,6.1
319,195.29,2213.36,-34.9056,6.351,95,15.3,18,6.1
320,174.6629756,2218.794147,-5.9295,6.351,95,15.3,18,6.1
321,166.26,2224.63,-9.891,6.351,95,15.3,18,6.1
322,165.4425321,2228.123853,-7.3657,6.351,95,15.3,18,6.1
323,184.5942422,2234.942905,-7.6081,6.351,95,15.3,18,6.1
324,172.55,2232.06,-76.6378,6.351,95,15.3,18,6.1
325,165.5,2225.59,-9.3867,6.351,95,15.3,18,6.1
326,174.3600174,2210.257593,8.4693,6.351,95,15.3,18,6.1
327,185.3,2206.2,65.5283,6.351,95,15.3,18,6.1
328,171.3953578,2213.980043,-31.8604,6.351,95,15.3,18,6.1
329,120.02,2219.32,-63.3,6.351,95,15.3,18,6.1
330,165.353392,2215.967354,-18.0838,6.351,95,15.3,18,6.1
331,165.87,2223.37,-5.9813,13.997,95,15.3,18,6.1
332,166.8903697,2218.319819,-11.5167,13.997,95,15.3,18,6.1
333,172.5234877,2217.505928,-9.583,13.997,95,15.3,18,6.1
334,195.29,2213.36,-34.9056,13.997,95,15.3,18,6.1
335,174.6629756,2218.794147,-5.9295,13.997,95,15.3,18,6.1
336,166.26,2224.63,-9.891,13.997,95,15.3,18,6.1
